path,text
data/raw/utt001.wav,hello how are you doing today
data/raw/utt002.wav,this is my final year project
data/raw/utt003.wav,speech recognition using cnn lstm
data/raw/utt004.wav,good morning everyone
data/raw/utt005.wav,thank you for listening
data/raw/utt006.wav,this project converts speech into text
data/raw/utt007.wav,deep learning is used for speech recognition
data/raw/utt008.wav,the model is trained using audio samples
data/raw/utt009.wav,this system works in real time
data/raw/utt010.wav,the application is user friendly
data/raw/utt011.wav,speech to text is an important technology
data/raw/utt012.wav,cnn extracts important features from audio
data/raw/utt013.wav,lstm captures temporal dependencies
data/raw/utt014.wav,this project follows a modular design
data/raw/utt015.wav,the dataset contains multiple audio files
data/raw/utt016.wav,the audio is sampled at sixteen kilohertz
data/raw/utt017.wav,training is done using labeled data
data/raw/utt018.wav,the system generates accurate transcriptions
data/raw/utt019.wav,this approach is efficient and reliable
data/raw/utt020.wav,the project is implemented using python
data/raw/utt021.wav,the model is trained on clean speech data
data/raw/utt022.wav,feature extraction uses log mel spectrograms
data/raw/utt023.wav,cnn layers learn spatial features
data/raw/utt024.wav,lstm layers learn sequential patterns
data/raw/utt025.wav,ctc loss is used for training
data/raw/utt026.wav,the output is generated as text
data/raw/utt027.wav,the system supports live microphone input
data/raw/utt028.wav,this demo shows real time transcription
data/raw/utt029.wav,the results are displayed on the website
data/raw/utt030.wav,the project meets vtu requirements
data/raw/utt031.wav,this is an industry oriented project
data/raw/utt032.wav,the system is easy to use
data/raw/utt033.wav,the application runs on cpu
data/raw/utt034.wav,the training process is stable
data/raw/utt035.wav,the dataset size is limited
data/raw/utt036.wav,the accuracy is satisfactory
data/raw/utt037.wav,the project demonstrates feasibility
data/raw/utt038.wav,this model generalizes to new sentences
data/raw/utt039.wav,the system handles unseen inputs
data/raw/utt040.wav,the output text is readable
data/raw/utt041.wav,the audio data is preprocessed
data/raw/utt042.wav,noise reduction improves performance
data/raw/utt043.wav,the project uses supervised learning
data/raw/utt044.wav,the system is evaluated using metrics
data/raw/utt045.wav,word error rate is calculated
data/raw/utt046.wav,character error rate is analyzed
data/raw/utt047.wav,the graphs show training performance
data/raw/utt048.wav,the loss decreases over epochs
data/raw/utt049.wav,the accuracy increases gradually
data/raw/utt050.wav,the final model is saved
data/raw/utt051.wav,the website provides a clean interface
data/raw/utt052.wav,the user can record audio
data/raw/utt053.wav,the audio is processed automatically
data/raw/utt054.wav,the transcription is shown instantly
data/raw/utt055.wav,this project focuses on simplicity
data/raw/utt056.wav,the code is modular and reusable
